#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
23        	4         	ok              	2.7830000000e+00	1.5482000000e+03	2.3933960587e+19	1.3019743254e+19	2.3617749562e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
24        	4         	ok              	2.1540000000e+00	1.5308000000e+03	1.8734997456e+19	1.0191627039e+19	2.3617638882e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
25        	4         	ok              	1.6680000000e+00	1.5110000000e+03	1.4697949975e+19	7.9955410789e+18	2.3617573075e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
26        	4         	ok              	1.2920000000e+00	1.4905000000e+03	1.1541305291e+19	6.2783686130e+18	2.3617530274e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
27        	4         	ok              	1.0000000000e+00	1.4692000000e+03	9.0623949900e+18	4.9298687528e+18	2.3617503684e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
28        	4         	ok              	7.7430000000e-01	1.4472000000e+03	7.1236788622e+18	3.8752255277e+18	2.3617488499e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
29        	4         	ok              	5.9950000000e-01	1.4222000000e+03	5.6124451934e+18	3.0531264389e+18	2.3617486990e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
30        	4         	ok              	4.6420000000e-01	1.3950000000e+03	4.4305192267e+18	2.4101673866e+18	2.3617492272e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
31        	4         	ok              	3.5940000000e-01	1.3660000000e+03	3.5030894430e+18	1.9056522429e+18	2.3617500737e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
32        	4         	ok              	2.7830000000e-01	1.3363000000e+03	2.7728938464e+18	1.5084312285e+18	2.3617509076e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
33        	4         	ok              	2.1540000000e-01	1.3057000000e+03	2.1964759593e+18	1.1948642622e+18	2.3617517414e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
34        	4         	ok              	1.6680000000e-01	1.2751000000e+03	1.7417109985e+18	9.4747569368e+17	2.3617524722e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
35        	4         	ok              	1.2920000000e-01	1.2445000000e+03	1.3822672962e+18	7.5194121476e+17	2.3617531598e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
36        	4         	ok              	1.0000000000e-01	1.2149000000e+03	1.0959329592e+18	5.9617772422e+17	2.3617537036e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
37        	4         	ok              	7.7430000000e-02	1.1882000000e+03	8.6764938527e+17	4.7199346774e+17	2.3617538776e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
38        	4         	ok              	5.9950000000e-02	1.1629000000e+03	6.8639068144e+17	3.7339035354e+17	2.3617539304e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
39        	4         	ok              	4.6420000000e-02	1.1420000000e+03	5.4120711897e+17	2.9441186552e+17	2.3617534219e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
40        	4         	ok              	3.5940000000e-02	1.1264000000e+03	4.2482464063e+17	2.3110093784e+17	2.3617523306e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
41        	4         	ok              	2.7830000000e-02	1.1143000000e+03	3.3253328056e+17	1.8089532896e+17	2.3617510977e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
42        	4         	ok              	2.1540000000e-02	1.1019000000e+03	2.6027196326e+17	1.4158583058e+17	2.3617501793e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
43        	4         	ok              	1.6680000000e-02	1.0902000000e+03	2.0371058833e+17	1.1081693790e+17	2.3617494305e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
44        	4         	ok              	1.2920000000e-02	1.0774000000e+03	1.5966480063e+17	8.6856398902e+16	2.3617489201e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
45        	4         	ok              	1.0000000000e-02	1.0661000000e+03	1.2488940921e+17	6.7938872259e+16	2.3617484522e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
46        	4         	ok              	7.7430000000e-03	1.0572000000e+03	9.7515932618e+16	5.3047922661e+16	2.3617480131e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
47        	4         	ok              	5.9950000000e-03	1.0504000000e+03	7.5990251019e+16	4.1338122823e+16	2.3617476377e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
48        	4         	ok              	4.6420000000e-03	1.0452000000e+03	5.9132887426e+16	3.2167848299e+16	2.3617473443e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
49        	4         	ok              	3.5940000000e-03	1.0420000000e+03	4.5923360741e+16	2.4981967024e+16	2.3617471174e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
50        	4         	ok              	2.7830000000e-03	1.0394000000e+03	3.5649527182e+16	1.9393079187e+16	2.3617469612e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
51        	4         	ok              	2.1540000000e-03	1.0368000000e+03	2.7661388202e+16	1.5047591311e+16	2.3617468570e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
52        	4         	ok              	1.6680000000e-03	1.0339000000e+03	2.1480320624e+16	1.1685136445e+16	2.3617467883e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
53        	4         	ok              	1.2920000000e-03	1.0307000000e+03	1.6689890128e+16	9.0791776634e+15	2.3617467420e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
54        	4         	ok              	1.0000000000e-03	1.0276000000e+03	1.2956841265e+16	7.0484265975e+15	2.3617467082e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
55        	4         	ok              	7.7430000000e-04	1.0245000000e+03	1.0062839034e+16	5.4741106723e+15	2.3617466830e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
56        	4         	ok              	5.9950000000e-04	1.0216000000e+03	7.8132465447e+15	4.2503488854e+15	2.3617466622e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
57        	4         	ok              	4.6420000000e-04	1.0185000000e+03	6.0683039429e+15	3.3011129153e+15	2.3617466458e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
58        	4         	ok              	3.5940000000e-04	1.0140000000e+03	4.7191451872e+15	2.5671804377e+15	2.3617466389e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
59        	4         	ok              	2.7830000000e-04	1.0081000000e+03	3.6756386791e+15	1.9995205343e+15	2.3617466406e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
60        	4         	ok              	2.1540000000e-04	1.0010000000e+03	2.8650674090e+15	1.5585756915e+15	2.3617466491e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
61        	4         	ok              	1.6680000000e-04	9.9300000000e+02	2.2365057710e+15	1.2166427563e+15	2.3617466621e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
62        	4         	ok              	1.2920000000e-04	9.8430000000e+02	1.7476652733e+15	9.5071710024e+14	2.3617466775e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
63        	4         	ok              	1.0000000000e-04	9.7500000000e+02	1.3655846158e+15	7.4286801760e+14	2.3617466940e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
64        	4         	ok              	7.7430000000e-05	9.6520000000e+02	1.0681080306e+15	5.8104293242e+14	2.3617467108e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
65        	4         	ok              	5.9950000000e-05	9.5490000000e+02	8.3590039686e+14	4.5472368011e+14	2.3617467272e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
66        	4         	ok              	4.6420000000e-05	9.4300000000e+02	6.5541546403e+14	3.5654119875e+14	2.3617467451e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
67        	4         	ok              	3.5940000000e-05	9.3130000000e+02	5.1382083803e+14	2.7951476043e+14	2.3617467597e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
68        	4         	ok              	2.7830000000e-05	9.2020000000e+02	4.0267458776e+14	2.1905201594e+14	2.3617467708e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
69        	4         	ok              	2.1540000000e-05	9.0990000000e+02	3.1519206881e+14	1.7146216806e+14	2.3617467790e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
70        	4         	ok              	1.6680000000e-05	8.9950000000e+02	2.4689831543e+14	1.3431086793e+14	2.3617467861e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
71        	4         	ok              	1.2920000000e-05	8.9020000000e+02	1.9324050901e+14	1.0512141561e+14	2.3617467911e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
72        	4         	ok              	1.0000000000e-05	8.8240000000e+02	1.5088905903e+14	8.2082538209e+13	2.3617467942e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
73        	4         	ok              	7.7430000000e-06	8.7580000000e+02	1.1771385115e+14	6.4035469100e+13	2.3617467961e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
74        	4         	ok              	5.9950000000e-06	8.7040000000e+02	9.1705114042e+13	4.9886907414e+13	2.3617467972e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
75        	4         	ok              	4.6420000000e-06	8.6640000000e+02	7.1336195314e+13	3.8806365469e+13	2.3617467972e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
76        	4         	ok              	3.5940000000e-06	8.6350000000e+02	5.5416485688e+13	3.0146160554e+13	2.3617467965e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
77        	4         	ok              	2.7830000000e-06	8.6150000000e+02	4.3011161864e+13	2.3397755666e+13	2.3617467950e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
78        	4         	ok              	2.1540000000e-06	8.6050000000e+02	3.3328676938e+13	1.8130555109e+13	2.3617467925e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
79        	4         	ok              	1.6680000000e-06	8.6060000000e+02	2.5805837202e+13	1.4038185650e+13	2.3617467885e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
